轮次,学习率,训练损失,训练准确率,验证损失,验证准确率,本轮耗时（秒）,累计耗时（秒）
36,0.1,0.2454017500453525,0.9139777777777778,0.6029528725624085,0.8194,22.093919699998878,796.4869087000006
37,0.1,0.2555388873312208,0.9121333333333334,0.36287161502838133,0.8778,22.163718399999198,818.650752900001
38,0.1,0.23977752153608534,0.9176222222222222,0.4365218282699585,0.8622,22.176399899999524,840.8272631
39,0.1,0.24205494753519693,0.9154666666666667,0.4424430274963379,0.8674,22.18861560000005,863.0160023999997
40,0.1,0.2357683254506853,0.9177777777777778,0.3815998044967651,0.8848,22.176904600000853,885.1930298999996
41,0.1,0.22743076377444796,0.9209333333333334,0.369931693649292,0.885,22.15600070000073,907.3581857000008
42,0.1,0.23650653063456217,0.9171777777777778,0.36104651417732236,0.8842,22.12823220000064,929.4926785000007
43,0.1,0.23285591180059645,0.9173555555555556,0.38493519072532656,0.8812,22.16047659999822,951.6532769000005
44,0.1,0.23106977468596565,0.9202222222222223,0.38787962946891785,0.8744,22.123272599999837,973.7766689
45,0.1,0.2255529517279731,0.9223111111111111,0.4272971137046814,0.8734,22.15712530000019,995.9339135999999
46,0.1,0.22309598132769268,0.9224888888888889,0.5573216741085052,0.826,22.133305100000143,1018.0673383000012
47,0.1,0.2333135708881749,0.9190888888888888,0.37942486944198606,0.8878,22.140740099999675,1040.2081961000004
48,0.1,0.2214278879854414,0.9218,0.4290053607463837,0.8688,22.150224200000594,1062.3651946999998
49,0.1,0.22444455911318462,0.9223555555555556,0.42698308944702146,0.8684,22.133869100000084,1084.4991860999999
50,0.1,0.22761079851256477,0.9202444444444444,0.3593104206562042,0.882,22.22320889999901,1106.722518300001
51,0.1,0.21671382687356736,0.9244666666666667,0.5539379426002502,0.8424,22.14955310000005,1128.8721937999999
52,0.1,0.22336921955214606,0.9224666666666667,0.3375990770339966,0.8884,22.1368491000012,1151.0091654000007
53,0.1,0.21894117538928987,0.9228222222222222,0.36000119948387144,0.889,22.193411299998843,1173.2088338000012
54,0.1,0.21729387761751812,0.9228666666666666,0.49178757038116455,0.8542,22.148637999998755,1195.363771800001
55,0.1,0.21626995366944207,0.9250444444444444,0.3735279472351074,0.8858,22.13800489999994,1217.5018944000003
56,0.1,0.21043264892813232,0.9256888888888889,0.5082965143203735,0.8532,22.262711400000626,1239.7647299
57,0.1,0.20944289399385452,0.9257777777777778,0.4509249949455261,0.8662,22.15238760000102,1261.9172439000013
58,0.1,0.21172811268170674,0.9266444444444445,0.3551288504600525,0.8876,22.202977500000998,1284.1203283000013
59,0.1,0.21147839792105888,0.9261333333333334,0.45214355750083923,0.8642,22.16378690000056,1306.2842292000005
60,0.1,0.20776406104829576,0.928,0.37400703754425046,0.8878,22.164980999999898,1328.4493316999997
61,0.1,0.21012468697230022,0.9258888888888889,0.40879954302310945,0.8802,22.25402540000141,1350.7034659
62,0.1,0.20914967856407166,0.9281333333333334,0.339332368850708,0.893,22.13463970000157,1372.8382249000006
